Classroom of the Elite
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;11.99;-987.01
3
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;24.47;10.479999999999999
4.5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;13.99;0.0
6
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;12.49;-1.5
7
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;12.99;-1.0
9
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;13.99;0.0
11
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;19.98;5.99
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
8
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;999.0;985.01
4
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999;0.0
7.5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;999;985.01
10
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;999;985.01
11.5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.99;999;985.01
5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999;0.0
""
