Interspecies Reviewers (light novel)
2
Cheapest Amazon price country 1 minus cheapest price;Cheapest store country 1;Cheapest Amazon store country 1;Cheapest Amazon price country 2 minus cheapest price;Cheapest store country 2;Cheapest Amazon store country 2;Price discrepancy both countries;Cheapest country;Price discrepancy Amazon both countries;Cheapest Amazon country;Cheapest Amazon country 1 minus cheapest store country 2
1.03;AbeBooks;Amazon.com;3.77;Amazon.co.uk;Amazon.co.uk;0.2;Country 2;2.54;Country 1;1.23
""
Interview with the Vampire: Claudia’s Story
1
Cheapest Amazon price country 1 minus cheapest price;Cheapest store country 1;Cheapest Amazon store country 1;Cheapest Amazon price country 2 minus cheapest price;Cheapest store country 2;Cheapest Amazon store country 2;Price discrepancy both countries;Cheapest country;Price discrepancy Amazon both countries;Cheapest Amazon country;Cheapest Amazon country 1 minus cheapest store country 2
977.88;Superbookdeals;;0.0;;;977.88;Country 1;0.0;Country 2;0.0
2
Cheapest Amazon price country 1 minus cheapest price;Cheapest store country 1;Cheapest Amazon store country 1;Cheapest Amazon price country 2 minus cheapest price;Cheapest store country 2;Cheapest Amazon store country 2;Price discrepancy both countries;Cheapest country;Price discrepancy Amazon both countries;Cheapest Amazon country;Cheapest Amazon country 1 minus cheapest store country 2
0.0;;;3.77;Amazon.co.uk;Amazon.co.uk;986.74;Country 2;982.97;Country 2;986.74
""
Inu x Boku SS
1
Cheapest Amazon price country 1 minus cheapest price;Cheapest store country 1;Cheapest Amazon store country 1;Cheapest Amazon price country 2 minus cheapest price;Cheapest store country 2;Cheapest Amazon store country 2;Price discrepancy both countries;Cheapest country;Price discrepancy Amazon both countries;Cheapest Amazon country;Cheapest Amazon country 1 minus cheapest store country 2
16.9;biggerbooks.com;Amazon.com;43.26;AbeBooks;Amazon.com;3.64;Country 1;30.0;Country 1;13.26
2
