Spice and Wolf (Manga)
3
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
6
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;26.32;13.32
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
7
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
4
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
9
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
8
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
14
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
13
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
16
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
11
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
15
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
12
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
10
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
""
Spice and Wolf (Novel)
3
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
6
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;26.32;-972.68
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
7
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
4
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
14.0;999.0;985.0
9
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
8
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
19
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
14.0;999;985.0
22
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
15.0;999;984.0
11
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
12
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
15
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
10
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
16
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
18
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
14.0;999;985.0
21
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
14.0;999;985.0
20
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
14.0;999;985.0
""
Spice and Wolf Anniversary Collector’s Edition
3
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
6
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;26.32;-972.68
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
17.77;999.0;981.23
7
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
4
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
9
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
8
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
25
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
16.95;999;982.05
50
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
34.2;999;964.8
40
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
32.81;999;966.19
100
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
79.67;999;919.33
30
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
19.95;999;979.05
20
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
19.97;999;979.03
75
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
17.95;999;981.05
60
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
69.99;999;929.01
""
Spiral: The Bonds of Reasoning
3
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
6
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;26.32;-972.68
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
7
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
4
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;11.49;-987.51
5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
9
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
8
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
13
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
15
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999;0.0
10
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999;0.0
12
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999;0.0
14
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999;0.0
11
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999;0.0
""
Spirits & Cat Ears
3
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
6
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;26.32;13.32
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
7
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
4
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;11.49;-987.51
5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999.0;999.0;0.0
9
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
8
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999.0;986.0
10
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
13.0;999;986.0
""
The Splendid Work of a Monster Maid
3
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
6
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;26.32;-972.68
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
15.0;999.0;984.0
7
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
15.0;999.0;984.0
4
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;11.49;-987.51
5
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
9
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
8
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
999;999.0;0.0
""
Spy Classroom (light novel)
1
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
12.99;20.02;7.029999999999999
2
B&N price;Cheapest Amazon price;Cheapest Amazon price minus B&N price
12.99;999;986.01
""
Spy Classroom (manga)
1
